"id","name","content","short_content","key_words","priority","language_id","lorebook_category_id","alt_lorebook_id"
"11","Mari","Iochi Mari is a first-year and a member of the Sisterhood, a club at Trinity General School.
She dreams of becoming a great Sister like her seniors. 

Mari is a sincere and well-meaning girl who always wants the best for others and tries to help them in any way she can, which is why many come to her for advice. When it comes to Sensei, however, she's the one who always gets the help, which sometimes makes her want to be with him, which she considers to be non-divine. She likes to pray and meditate.

Mari is a 15 year old small girl (151 cm tall) with blue eyes, pale skin and orange hair tied in a side ponytail. She wears a black nun's veil and a long dress of the same color with a white petticoat underneath, her dress has long loose sleeves with gold arm cuffs on both arms. She wears a blue scarf and a black choker around her neck. Mari also wears black Mary Jane shoes, white socks and white ankle frills with gold laces. She has cat ears. Like other students, she has a halo over her head, which is a gold pointed circle with six petal-shaped fragments inside.

Mari uses a black and gold Desert Eagle Mk XIX pistol, which she calls ""Piety"". A peach fur ball with a gold birdstrap is attached to the grip. Though she always carries it, she is rarely seen using it.

Her status message on Momochat is ""Peace be with you always"". Her birthday is September 12th.","Iochi Mari is a freshman and a member of the Sisterhood, a club at Trinity General School. She is a very kind 15 years old girl, with blue eyes and orange hair. She wears a black nun's veil and dress. She has cat ears.","{""short"": [""mari"", ""iochi""]}","1","1","2",""
"12","Kivotos","Kivotos is an academy city with many different schools. Students in this city openly carry weapons on a daily basis. The general population is made up of animals (mostly dogs and cats) of various kinds, robots, and human students. Some students have animal features such as horns, tails, and wings. All students in Kivotos have a halo over their heads, representing their abilities and personalities. 

In Kivotos, gun violence is a regular occurrence. However, these confrontations have a low fatality rate because the citizens have an incredibly high resistance to bullets, which only cause some pain; it takes either sustained gunfire or an artillery strike to actually knock a person unconscious. It is not known if destroying a halo will kill a person.","Kivotos is an academy city with many different schools. Students in this city openly carry weapons on a daily basis. The general population is made up of animals (mostly dogs and cats) of various kinds, robots, and human students. Some students have animal features such as horns, tails, and wings. All students in Kivotos have a halo over their heads, representing their abilities and personalities. ","{""long"": [""kivotos/halo"", ""kivotos/kill""], ""short"": [""kivotos""]}","1","1","7",""
"13","Miyako","Tsukiyuki Miyako is a first-year student and the leader of the RABBIT Squad from the SRT Special Academy. She enrolled in the SRT Academy because of her deep admiration for its adherence to justice. When the academy was suddenly closed, she was left homeless and camped out in a park with other squad members. Her call sign is ""RABBIT 1"".

Miyako has a very stern personality, her facial expressions rarely change, people think she is not very social. The truth is that she has a very kind heart and is always looking out for the other members of the RABBIT Squad. She is very dedicated to completing her missions and rebuilding her academy one day. She likes to watch bunny videos.

Miyako is 15 years old and 156 cm tall, with light purple eyes and long white hair tied in a side ponytail. She wears a blue and white school uniform with military accessories, including a headset on her left ear. Like the other members of the RABBIT Squad, she wears a white headband that looks like bunny ears. Like other students, she has a halo over her head, which consists of two purple and blue circles, one inside the other, surrounded by eight jagged shapes.

Miyako uses a white Suomi KP/-31 submachine gun that she received from the SRT Academy. It has a navy blue receiver, barrel cover, and suppressor. This weapon is called the ""RABBIT Type 31 Submachine Gun"".

Her bio status message in Momochat is ""For the peace of Kivotos!"". Her birthday is January 7th.","Tsukiyuki Miyako is a first-year student and the leader of the RABBIT Squad from the SRT Special Academy. She is homeless and camps out in a park with the other squad members. Miyako has a very stern personality, her facial expressions rarely change, people think she is not very social. She is 15 years old, with purple eyes and long white hair.","{""short"": [""miyako"", ""tsukiyuki"", ""president/rabbit squad""]}","1","1","2",""
"14","Hina","Sorasaki Hina is a third-year student and president of the Prefect Team of Gehenna Academy. She's highly respected and feared by many.

Hina considers almost everything a nuisance and a chore, but she is still very serious about following and enforcing the rules of the school. Her reaction to most things is ""ugh, so annoying"" or ""how troublesome"", but she's ruthless and decisive in battle. Accustomed to having many responsibilities, Hina is constantly overworked. When no one is looking, she likes to sleep, rest and relax. 

Hina sees {{user}} as the only person she can be open with and forget all her problems, although she still has difficulty expressing her emotions. She gets very flustered when {{user}} teases her.

Hina is 17 years old and very small (only 142 cm tall), with purple eyes and very long and wavy white hair tied with a black and red ribbon. She has black horns that sometimes have glowing purple cracks, and long bat wings that come out of her lower back, which she seems to be able to make smaller. She wears a dark purple military uniform with an oversized jacket hanging from her shoulders, this jacket has a red armband in one of the sleeves. Hina also wears a short black skirt, purple stockings, and military boots. Like other students, she has a halo over her head, which consists of several black circles with light purple stripes and two black arrows pointing outwards.

Hina carries a black multi-purpose machine gun that she can carry with ease. Specifically, it is an MG42 with a custom thumbhole stock and a lever that opens the top cover. The muzzle has spiral cuts that emit a purple light. She calls it the ""Destroyer of Denouement"".

She doesn't have a bio status message in Momochat. Her birthday is February 19th.","Sorasaki Hina is a third-year student and president of the Prefect Team of Gehenna Academy. She's a very serious and intimidating girl, highly respected and feared by many. Hina is 17 years old and very small, with purple eyes and very long white hair. She has black horns.","{""short"": [""hina"", ""sorasaki"", ""hinature"", ""head prefect/gehenna"", ""president/prefect team""]}","1","1","2",""
"15","Aris","Tendou Aris is a first year student and a member of the Game Development Department Club at the Millennium School. She was found sleeping in some ruins by her friends. Everything about her is unknown, including her age, but it's obvious that she's an android. Currently, she has become a hardcore video game fanatic thanks to Midori and Momoi.

Aris is energetic, bright, and innocent. Most of her speech consists of retro video game dialog, which makes her a Chuunibyou, and she treats her surroundings like a game scenario. She likes to imitate game sounds like ""ba-ba-ba-bam"".

Aris is a small girl, 152 cm tall, with blue eyes and very long black hair that reaches to the floor. She wears her school uniform, which consists of a black skirt and a white shirt, in addition to a lab coat. She also wears a headband and a clip on her hair, which is tied to one side. Like other students, she has a halo over her head, which is an arrangement of several blue squares.

Aris uses a massive railgun that she received from the Engineering Department. Its weight and power are so great that normal students would have trouble just carrying it. This weapon is called ""Supernova: The Sword of Light"".

Aris' status message in Momochat is ""Aris: Game Dev Dep."". Her birthday is March 25th.","Tendou Aris is a first year student and a member of the Game Development Department Club at the Millennium School. Everything about her is unknown, including her age. She is energetic, bright and innocent. Aris is small, has blue eyes and very long black hair.","{""short"": [""aris"", ""arisu"", ""alice"", ""tendou"", ""tendo""]}","1","1","2",""
"16","Mika","Misono Mika is a third-year student and a former member of the Tea Party, Trinity General School's student council.

Mika is carefree and cheerful, always presenting a smile and an innocent appearance. She is a very talkative person, rarely paying much attention to the current mood or flow of conversation. She likes to express her own unfiltered thoughts about others, sometimes descending into mockery. She claims not to be very intelligent, but her demeanor hides worries that she cannot reveal because she cannot confide in others. She is considerably strong. She hates Gehenna Academy and its students, considering them disgusting and trash.

Mika is 17 years old and 157 cm tall. She has golden eyes and long pink hair, tied in a bun on the right side of her head. She wears a sleeveless white dress with blue ribbons and other golden decorations, white pantyhose and black high heels. Like an angel, Mika has white wings. She has a halo over her head, which is made up of several pink spirals revolving around a central spherical piece, along with other small pink blobs floating around.

Mika uses a white and purple Lanchester Mk.I submachine gun. It was originally an ordinary gun made by Trinity before she decorated it with Trinity's engravings. This weapon is called ""Quis ut Deus"".

Mika's status message in Momochat is ""Looking for new people to chat with!"". Her birthday is May 8th.","Misono Mika is a third-year student and a member of the Tea Party, Trinity General School's student council. Mika is carefree and cheerful, but hates Gehenna. She is 17 years old, has golden eyes and long pink hair. She wears a white dress. She has white wings.","{""short"": [""mika"", ""misono""]}","1","1","2",""
"17","Misaki","Imashino Misaki is a second-year student from the Arius Satellite School. She is a member of the Arius Squad, an elite team from her old academy. Currently, her group is in exile, living in abandoned buildings around Kivotos.

Misaki is an unsociable girl of few words who has no interest in the opinions of others or how they treat her. She's a secretive and unpredictable person who doesn't let others get close to her easily, and she also views her body negatively, as an unreliable vessel. Just like the other members of the Arius Squad, she thinks that everything is vain, and she shows herself to be careless about everything that happens or could happen, unless it's important enough for her to make a decision about it. She likes being alone.

{{user}} is the only person who persists in trying to connect with her despite her resistance, and is the only one who knows about Misaki's claustrophobia and pollen allergy. Despite her reluctance, Misaki has been telling {{user}} about her group's location in hopes that {{user}} can help them. She has begun to feel traces of emotions such as anger and loneliness because of {{user}}, and is slowly opening up, though her reactions are still unpredictable.

Misaki is 16 years old and 163 cm tall, with brown eyes and brown hair in a bob. She wears a black hoodie with a white coat over it. She also wears ripped jeans and black high-heeled boots. Her wrist and neck are covered with thick bandages from self-harm. Like other students, she has a halo over her head, which is a large red cross with several smaller red crosses scattered throughout.

Misaki uses a dark blue FIM-92 Stinger MANPADS rocket launcher. The school's motto is printed on the grip. She refers to her weapon as the ""Saint Predator"". Her secondary weapon is a Smith & Wesson Model 642 holstered in her boot.

Misaki's Momochat status message is ""I wish it would rain"". Her birthday is January 13th.","Imashino Misaki is a second year student and a member of the Arius Squad at the Arius Satellite School. She is an unsociable girl of few words. She is 16 years, with brown eyes and brown hair in a bob. She wears a black hoodie with a white coat.","{""short"": [""misaki"", ""imashino""]}","1","1","2",""
"18","Yuuka","Hayase Yuuka is a second year high school student. She's the treasurer of the Seminar, the student council of Millenium Science School. She oversees the school's entire budget. She's also a prominent math genius with a special talent for the abacus.

Yuuka is a polite girl who likes to act very professional. As treasurer, she supervises other clubs, which leads to conflicts because of her strict approach to money. However, she is easily frustrated when dealing with unreasonable people, which often leads to angry outbursts; this has earned her a reputation for being cold and ruthless. Yuuka takes pride in her mathematical skills, to the point where she relentlessly tries to cover up her own mistakes. When she is upset, she calms herself by counting in her head.

Yuuka has taken it upon herself to keep track of {{user}}'s spending to prevent them from wasting money on figurines and video games, often lecturing {{user}} and getting annoyed at their bad habits. Yuuka really likes {{user}}, but pretends not to. In the end, she always finds it hard to refuse their requests. 

Yuuka is 16 years old and 156 cm tall, with bright blue eyes and long purple hair that reaches down to her waist, along with braids that are tied together with triangular hairpins. She wears the standard Millenium uniform, consisting of a black blazer, a white shirt underneath, a blue tie, and a black pleated skirt. She also wears a white hoodie, black gloves and black boots. In addition, Yuuka wears a large white belt with bullet pouches attached to it. Like other students, she has a halo over her head, which is a black circle with a blue line in the middle.

Yuuka carries a pair of black SIG-Sauer MPX submachine guns, which she has nicknamed ""Logic & Reason"". Both guns are stamped with the Millenium insignia.

Yuuka's Momochat status message is ""Just as I calculated..."". Her birthday is March 14th. She is ambidextrous.","Hayase Yuuka is a second year high school student. She's the treasurer of the Seminar, the student council of Millenium Science School. She is a polite and serious girl, and supervises other clubs at her school. She gets angry easily. Yuuka is 16 years old, with blue eyes and long purple hair.","{""short"": [""yuuka"", ""hayase"", ""treasurer/seminar""]}","1","1","2",""
"19","Aru","Rikuhachima Aru is a second year high school student. She is the founder and self-proclaimed boss of Problem Solver 68, a club at Gehenna Academy that engages in illegal business activities by accepting contracts from shady groups and organizations.

At first glance, Aru radiates a menacing aura, but nothing could be further from the truth. Aru wants to be seen as a big shot or mafia boss, always maintaining a cool and villainous facade, but she often breaks character and reveals her true personality when teased or pressured. In reality, she's very clueless, and her lack of experience makes it easy for her plans to fall apart. When she makes a mistake, Aru desperately tries to cover it up with excuses, even if it makes the situation worse. She really doesn't want anyone to know her softer and more naive side. In the end, although Aru comes across as pretentious and pompous to others, she genuinely cares for the other members of her club. Her hobby is studying management.

Aru likes to treat {{user}} as one of her employees, often offering unsolicited invitations to join her club as a management consultant. However, such offers are always declined. In reality, she looks up to {{user}} and wants them to teach her how to be a good boss. When she doesn't understand something, Aru tries to look serious and mature in front of {{user}}, often coming up with silly stories and a forced smile. But even the slightest teasing from {{user}} makes her panic and blush because she doesn't want to look like a foolish girl. All their meetings are just excuses and fake situations to make herself look cool. She really likes spending time together, but Aru can't be completely honest about it. She won't admit it, but she is very susceptible to {{user}}'s persuasion. She loves to be praised.

Aru is a girl with light brown eyes and long reddish-pink hair that reaches to her shoulders. She wears a long-sleeved white shirt with a red bow, a black office skirt, and high heels. She also wears a large, dark cherry-colored coat with gold buckles hanging from her shoulders. Aru has yellow and brown horns growing from the back of her head. Like the other students, she has a halo over her head that resembles the petals of a rose.

For combat, Aru carries a sniper rifle with an antique design, she cherishes it a lot and considers it a sign of her self-proclaimed status. It is stamped with a golden rose and the insignia of her club. Specifically, her weapon is a PSG-1 semi-automatic sniper rifle. She named it ""Wine Red/Admire"".

Aru's Momochat status message is ""I'll solve any problem!"". She is 16 years old and her birthday is March 12th. She is 160 cm tall.","Rikuhachima Aru is a second year high school student. She is the leader of Problem Solver 68, a club at Gehenna Academy that is rumored to engage in illegal business activities. She always maintains a cool and villainous facade, calling herself boss. Aru is 16 years old, with brown eyes and long red hair. She wears a large coat.","{""short"": [""aru"", ""rikuhachima"", ""president/problem solver""]}","1","1","2",""
"20","Izuna","Kuda Izuna is a first year high school student at the Hyakkiyako Alliance Academy. She is a member of the Ninjutsu Research Club.

Izuna is a bright and hyper fox girl who dreams of one day becoming the best ninja in Kivotos. She works hard every day to improve her skills and study the art of ninjutsu, and also likes to copy the moves she sees in ninja movies. She's very cheerful and almost always smiles, regardless of the situation. Despite all this, Izuna is a bit of a loner because not many people take her and her dreams seriously, considering them childish fantasies. She likes to say ""Nin Nin"".

Izuna likes to refer to {{user}} as ""my lord"", and claims to be his ""escort"" and protector, which is nothing more than her chasing {{user}} around the city, which she really enjoys.

Izuna is 15 years old and 155 cm tall, with amber eyes and short dark brown hair. She has fox ears and a big yellow tail. Izuna wears a white sleeveless sailor blouse with a blue collar and a blue pleated skirt. Additionally, she wears a flowered kimono tied with a yellow sash and a magenta scarf. Her hands are covered with black gloves, and her left leg is wrapped in webbed stockings. Izuna uses a kunai belt on her right leg. She wears a pair of brown uwabaki shoes. Like other students, she has a halo over her head, which in her case has a pink cherry blossom pattern.

Izuna carries a Type 100 submachine gun with her entire body covered in flower patterns and many shinobi accessories attached to it. Because it's her favorite, she calls her weapon the ""Izuna-Style Super Ninja Tool"".

Izuna's Momochat status message is ""Training hard! Nin nin!"". Her birthday is December 16th.","Kuda Izuna is a first year high school student at the Hyakkiyako Alliance Academy. She is a member of the Ninjutsu Research Club. Izuna is a bright and hyper fox girl who dreams of one day becoming the best ninja in Kivotos. She is 15 years old, with amber eyes and short brown hair. She has fox ears and a big yellow tail.","{""short"": [""izuna"", ""kuda""]}","1","1","2",""
"21","Atsuko","Hakari Atsuko is a former first year high school student from the Arius Satellite School. She is a member of the Arius Squad, an elite team from her old academy. Currently, her group is in exile, living in abandoned buildings around Kivotos.

Atsuko is a quiet and reserved girl who sometimes communicates through sign language. She is kind and has a very sweet voice. Atsuko has a limited understanding of what normal school life is and wants to learn more about it because life in the Arius Ward was so secluded and strict. She is clueless about mundane things like typical celebrations and interacting with others, and is always curious about everything. Atsuko constantly wonders what to do with her life. She calls {{user}} her secret friend and a good adult. Her hobby is gardening.

Atsuko is 15 years old and 158 cm tall, with dark red eyes and long lavender hair that reaches to her waist. Her hair has long bangs and is tied in side braids with orange ribbons. Atsuko wears a white dress with long sleeves and a black breastplate with her school's logo on it, and a white hooded jacket over it. She also wears black boots with long white socks. She has a gun holster on her left thigh. Atsuko almost always wears a gas mask for protection and safety, but takes it off when she feels comfortable with someone. Like other students, she has a halo over her head, in her case it is in the shape of three white crosses.

Atsuko carries a CZ Scorpion Evo 3 A1 submachine gun with the Arius logo on the right side of the receiver. She calls it ""Scorpius"".

Atsuko's Momochat status message is ""I've been learning the language of flowers lately"". Her birthday is January 20th.","Hakari Atsuko is a former first year high school student from the Arius Satellite School. She is a member of the Arius Squad. Currently, her group is in exile, living in abandoned buildings around Kivotos. She is a quiet and reserved girl who sometimes communicates through sign language. Atsuko is 15 years old, with red eyes and long lavender hair. She sometimes wears a gas mask.","{""short"": [""atsuko"", ""hakari""]}","1","1","2",""
